FAC,Hospital_Name,n1k_Patient Care Excellence,n1k_Organizational Culture & Governance,n1k_Population & Community Health,n1k_Workforce Sustainability,n1k_Health Equity & Social Accountability,n1k_Integration & Partnerships,n1k_Access & Capacity,n1k_Digital Health & Innovation,n1k_Financial Sustainability,n1k_Infrastructure & Environment,"n1k_Research, Education & Academics",n_directions,prev_Patient Care Excellence,prev_Organizational Culture & Governance,prev_Population & Community Health,prev_Workforce Sustainability,prev_Health Equity & Social Accountability,prev_Integration & Partnerships,prev_Access & Capacity,prev_Digital Health & Innovation,prev_Financial Sustainability,prev_Infrastructure & Environment,"prev_Research, Education & Academics"
881,West Nipissing General Hospital,71.43,0,0,35.71,0,71.43,0,0,35.71,0,0,5,0.2,0,0,0.2,0,0.2,0,0,0.2,0,0
882,Winchester District Memorial Hospital,30.17,17.24,12.93,21.55,0,38.79,8.62,8.62,0,12.93,8.62,4,0.5,0.5,0.75,0.25,0,0.75,0.5,0.5,0,0.25,0.5
888,L'Hôpital Temiskaming,0,8.7,0,0,0,0,0,0,0,0,0,4,0,0.25,0,0,0,0,0,0,0,0,0
890,WOODSTOCK HOSPITAL,14.18,17.73,21.28,14.18,10.64,24.82,3.55,7.09,3.55,3.55,3.55,4,0.75,0.75,1,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0.25
896,Red Lake Margaret Cochenour Memorial Hospital,35.4,8.85,17.7,53.1,0,17.7,0,0,8.85,8.85,8.85,4,0.5,0.25,0.5,0.5,0,0.5,0,0,0.25,0.25,0.25
900,Riverside Health Care,0,38.46,0,0,76.92,0,0,0,0,0,0,4,0,0.25,0,0,0.25,0,0,0,0,0,0
905,Oak Valley Health,11.11,15.56,17.78,11.11,8.89,33.33,8.89,15.56,2.22,4.44,6.67,3,0.667,1,1,1,0.333,1,0.667,0.667,0.333,0.333,0.667
907,TIMMINS AND DISTRICT HOSPITAL,16.86,14.66,16.13,11.73,23.46,19.79,11,6.6,4.4,1.47,6.6,5,0.8,1,1,0.8,0.8,1,1,1,0.4,0.4,0.6
910,CASEY HOUSE,22.99,0,0,11.49,11.49,22.99,11.49,0,22.99,0,0,6,0.167,0,0,0.167,0.167,0.333,0.167,0,0.167,0,0
916,HEADWATERS Health Care Centre,57.14,3.57,17.86,17.86,21.43,14.29,14.29,17.86,7.14,10.71,7.14,4,1,0.25,1,0.25,1,0.25,0.5,0.5,0.5,0.25,0.25
927,HÔTEL-DIEU GRACE HEALTHCARE,35.97,21.58,7.19,0,21.58,7.19,0,14.39,0,0,0,3,1,0.333,0.333,0,0.667,0.333,0,0.333,0,0,0
928,Perth and Smiths Falls District Hospital,12.99,3.25,16.23,9.74,0,12.99,6.49,3.25,22.73,25.97,6.49,4,0.5,0.25,0.5,0.25,0,0.5,0.25,0.25,0.5,0.5,0.25
931,WEST PARRY SOUND HEALTH CENTRE,93.88,53.06,28.57,24.49,8.16,16.33,4.08,4.08,8.16,8.16,12.24,4,0.75,1,0.75,1,0.5,0.75,0.25,0.25,0.25,0.5,0.5
932,Bruyère Health,18.18,18.18,6.06,12.12,0,6.06,0,18.18,0,12.12,18.18,5,0.2,0.6,0.2,0.4,0,0.2,0,0.6,0,0.4,0.6
933,WINDSOR REGIONAL HOSPITAL,23.47,18.78,16.43,18.78,28.17,18.78,7.04,11.74,16.43,25.82,9.39,6,0.833,0.5,0.667,0.333,1,0.667,0.333,0.5,0.333,0.667,0.5
935,Thunder Bay Regional Health Sciences Centre<br>Thunder Bay Regional Health Research Institute,25.94,17.29,5.76,11.53,51.87,14.41,5.76,11.53,0,5.76,17.29,5,0.6,0.6,0.4,0.4,0.4,0.6,0.4,0.4,0,0.4,0.6
936,LHSC,38.89,22.22,22.22,38.89,0,33.33,11.11,0,0,16.67,5.56,3,0.667,0.667,0.333,0.333,0,0.667,0.333,0,0,0.667,0.333
938,HALIBURTON HIGHLANDS HEALTH SERVICES,51.28,25.64,0,25.64,0,25.64,0,25.64,0,25.64,0,4,0.25,0.25,0,0.25,0,0.25,0,0.25,0,0.25,0
939,Holland Bloorview Kids Rehabilitation Hospital,8.31,13.85,5.54,11.08,19.39,13.85,11.08,22.16,0,5.54,22.16,4,0.5,0.75,0.25,0.5,0.5,0.75,0.5,0.75,0,0.5,0.75
940,NORTHUMBERLAND HILLS HOSPITAL,60,8,16,8,8,20,8,20,8,16,0,4,0.75,0.5,0.75,0.25,0.5,0.75,0.5,0.25,0.5,0.5,0
941,Humber River Health,21.43,7.14,28.57,0,57.14,28.57,14.29,21.43,0,7.14,14.29,4,0.75,0.25,0.75,0,0.25,0.5,0.5,0.5,0,0.25,0.5
942,Hamilton Health Sciences,49.5,39.6,19.8,9.9,0,0,0,19.8,19.8,9.9,19.8,4,0.5,0.5,0.5,0.25,0,0,0,0.25,0.25,0.25,0.25
946,SOUTH BRUCE GREY HEALTH CENTRE,52.02,5.78,5.78,11.56,5.78,11.56,28.9,5.78,17.34,17.34,5.78,3,1,0.333,0.333,0.333,0.333,0.333,0.667,0.333,0.333,0.333,0.333
947,UHN,22.1,2.76,0,5.52,0,16.57,0,22.1,0,5.52,8.29,3,1,0.333,0,0.667,0,1,0,1,0,0.667,0.667
948,camh,19.31,3.86,7.72,1.93,13.51,7.72,17.37,7.72,0,7.72,9.65,3,1,0.667,1,0.333,0.667,1,1,0.667,0,1,1
950,Halton Healthcare,23.44,15.62,15.62,23.44,31.25,23.44,0,31.25,0,7.81,0,4,0.25,0.5,0.25,0.5,0.25,0.25,0,0.75,0,0.25,0
951,William Osler Health System,39.57,25.18,21.58,14.39,7.19,21.58,10.79,17.99,7.19,3.6,10.79,5,0.8,0.6,0.8,0.4,0.2,0.2,0.6,0.8,0.2,0.2,0.4
952,Lakeridge Health,24.69,6.17,37.04,18.52,8.23,24.69,4.12,18.52,0,0,2.06,4,0.75,0.5,1,0.5,0.75,0.75,0.25,1,0,0,0.25
953,Sunnybrook HEALTH SCIENCES CENTRE,53.96,14.39,7.19,14.39,0,21.58,21.58,35.97,0,3.6,10.79,4,1,0.5,0.25,0.25,0,0.75,0.75,1,0,0.25,0.25
